Mois;Post_Numero;Theme;Concept_Visuel;Prompt_Midjourney;Legende_Instagram;Hashtags
Mai;1;Produit Sublimé;Thon Germon au Naturel (Macro);Photorealistic food photography of premium white tuna fillets from Saint-Jean-de-Luz, glistening in clear brine inside a glass jar. The jar is placed on a light grey artisanal ceramic plate with a sprig of fresh thyme. Soft diffused window light, bright and airy atmosphere. Shot with a 105mm macro lens, tack-sharp focus on the fish texture, shallow depth of field, creamy bokeh. --ar 4:5 --style raw --v 6.0;La pureté du large, simplement mise en bocal. Notre Thon Germon au naturel révèle une chair nacrée et fondante, travaillée à la main quelques heures après le retour des bateaux. L'essentiel, sans artifice. 🐟✨;#ConserverieJeandeLuz #ThonGermon #GastronomieBasque #ProduitArtisanal #SaintJeandeLuz #SlowFood
Mai;2;Art de Vivre;Pique-nique à Sainte-Barbe;Vibrant lifestyle photograph of a rustic wooden crate used as a table on the green grass of a cliff, overlooking the Atlantic ocean. An open tin of sardines, a crusty baguette, and a bowl of fresh radishes. Warm morning sunlight, soft shadows. 45-degree angle shot, rule of thirds, suggesting a peaceful moment of sharing. --ar 4:5 --style raw --v 6.0;Prendre de la hauteur sur les falaises de Sainte-Barbe. Une boîte de sardines, une baguette croustillante et le souffle de l'Atlantique. Le bonheur est une chose simple, savourée face à l'horizon. 🌊🥖;#ArtDeVivre #PaysBasque #SainteBarbe #PiqueniqueChic #Sardines #Evasion
Mai;3;Le Geste;Le Salage (Mains d'artisan);Atmospheric close-up of weathered artisan hands delicately sprinkling coarse sea salt over fresh anchovies. Low-key lighting, moody Chiaroscuro effect, dark textured background. Focus on the contrast between the rough skin of the hands and the silver scales of the fish. Cinematic feel, hyper-detailed. --ar 4:5 --style raw --v 6.0;Le sel, le geste, le temps. Derrière chaque bocal, il y a la main de l'homme. Un savoir-faire ancestral qui respecte la matière pour en extraire le meilleur. L'art de la patience. ✋🧂;#Artisanat #SavoirFaire #MainDeLHomme #PatrimoineVivant #Conserverie #Qualité
Mai;4;Produit Sublimé;Maquereaux au Citron (Flat lay);Top-down flat lay of opened mackerel tins arranged artistically on a natural linen tablecloth. Slices of organic yellow lemons and peppercorns scattered around. Soft natural light from the side, negative space for text. High-quality food styling, rustic-chic aesthetic. --ar 1:1 --style raw --v 6.0;Fraîcheur printanière : nos filets de maquereaux se marient à l'acidité vive du citron bio. Une alliance légère et pepsée, idéale pour vos salades de saison. 🍋🐟;#Maquereau #MangerSain #RecettePrintemps #CitronBio #FoodStyling #JeandeLuz
Mai;5;Art de Vivre;Retour de Marché (Panier);A wicker market basket on a stone floor, filled with fresh spring vegetables (asparagus, peas) and several glass jars of Conserverie Jean de Luz. A French newspaper and a bunch of wild flowers are peeking out. Soft morning sunlight through an open door. --ar 4:5 --style raw --v 6.0;Samedi matin au marché de Saint-Jean-de-Luz. Le panier se remplit de trésors de la terre et de la mer. On prépare le déjeuner de dimanche ? 🧺🥦;#MarcheLocal #ProduitsFrais #SaintJeandeLuz #CircuitCourt #CuisineBasque #PanierGourmand
Mai;6;Produit Sublimé;Rillettes d'Esturgeon (Texture);Extreme close-up of a rustic sourdough bread slice spread with creamy sturgeon rillettes. Topped with fresh dill and a few capers. Golden hour lighting, highlighting the creamy texture and the crumbs of the bread. Professional food photography. --ar 4:5 --style raw --v 6.0;Onctuosité et caractère. Nos rillettes d'esturgeon sont une invitation à la gourmandise. Sur un pain de campagne toasté, c'est l'apéritif parfait. Vous en prendrez bien une tartine ? 🍞✨;#Rillettes #Esturgeon #AperoTime #Gourmandise #Texture #Terroir
Mai;7;Le Geste;Rangement des Bocaux (Alignement);Symmetrical shot of an artisan's hands placing jars of tuna on old wooden shelves in a dimly lit cellar. The labels are perfectly aligned. Warm, golden lighting on the glass. A sense of order, tradition, and pride. --ar 4:5 --style raw --v 6.0;Chaque bocal trouve sa place. L'exigence se niche dans les détails, jusque dans l'alignement de nos étagères. Un temple de la conservation où le temps fait son œuvre. 🏺🕰️;#Tradition #Stockage #Excellence #Conserve #PassionArtisanat #Coulisses
Mai;8;Art de Vivre;Apéro Fenêtre sur le Port;Perspective from inside a cozy apartment, looking through an open window at the port of Saint-Jean-de-Luz at dusk. On the windowsill, a glass of white wine and a small plate of anchovies. Moody evening light, blue hour. --ar 4:5 --style raw --v 6.0;Fin de journée face aux bateaux qui rentrent. Le port s'apaise, et nous aussi. Un verre de blanc, quelques anchois, et le spectacle peut commencer. 🍷⛵;#AperoPort #VueSurMer #DouceurDeVivre #SaintJeandeLuz #PaysBasque #InstantPresent
Juin;9;Produit Sublimé;Sardines au Piment d'Espelette;Photorealistic food photography of spicy sardines in a vintage tin, topped with vibrant red Espelette pepper flakes. Glistening oil, rich colors. Set on a dark weathered wood background. Warm golden hour light, dramatic side shadows. Shot on 105mm macro lens. --ar 4:5 --style raw --v 6.0;Le tempérament basque en boîte ! Nos sardines se marient au piment d'Espelette pour un réveil des papilles tout en finesse. Une pointe de piquant, beaucoup de caractère. 🌶️🐟;#PimentEspelette #Sardines #Epice #CuisineBasque #Saveurs #Juin
Juin;10;Art de Vivre;Grande Tablée de Juin;Lively lifestyle photograph of a long wooden table outdoors under a trellis. Multiple open cans of Conserverie Jean de Luz, bowls of olives, and local cider bottles. Dappled sunlight filtering through leaves. Warm summer vibes. --ar 16:9 --style raw --v 6.0;L'été arrive, les tablées s'allongent. On partage, on goûte, on rit. La Conserverie Jean de Luz s'invite au cœur de vos moments de convivialité. À la vôtre ! 🥂☀️;#Convivialite #Tablee #Amis #Ete2024 #Partage #ArtDeRecevoir
